Year,Change
2017,53.52000
2017,54.95000
2017,56.79000
2017,58.26000
2017,57.81000
2017,58.70000
2017,58.24000
2017,58.65000
2017,55.82000
2018,56.06000
2018,57.01000
2018,58.09000
2018,58.38000
2018,54.65000
2018,53.43000
2018,57.34000
2018,57.42000
2018,56.13000
2018,54.11000
2018,55.49000
2018,55.79000
2018,56.41000
2018,56.54000
2018,55.13000
2018,56.43000
2018,56.39000
2018,56.05000
2018,56.47000
2018,58.51000
2018,58.38000
2018,57.39000
2018,57.18000
2018,57.04000
2018,57.45000
2018,59.71000
2018,58.93000
2018,61.50000
2018,59.30000
2018,60.30000
2018,61.91000
2018,59.84000
2018,58.85000
2018,57.48000
2018,58.26000
2018,58.89000
2018,59.96000
2019,58.29000
2019,63.41000
2019,60.57000
2019,62.62000
2019,61.86000
2019,61.61000
2019,61.93000
2019,64.26000
2019,63.26000
2019,61.60000
2019,61.42000
2019,63.33000
2019,65.65000
2019,62.67000
2019,61.35000
2019,60.63000
2019,65.06000
2019,64.79000
2019,66.06000
2019,64.26000
2019,63.58000
2019,63.35000
2019,66.62000
2019,67.47000
2019,65.47000
2019,65.55000
2019,65.20000
2019,63.03000
2019,64.69000
2019,64.05000
2019,62.54000
2019,66.03000
2019,64.40000
2019,64.48000
2019,65.59000
2019,64.73000
2019,64.90000
2020,62.32000
2020,61.42000
2020,63.03000
2020,67.79000
2020,66.96000
2020,63.68000
2020,65.64000
2020,62.50000
2020,64.39000
2020,66.77000
2020,64.35000
2020,64.16000
2020,66.09000
2020,66.60000
2020,67.87000
2020,68.03000
2020,65.14000
2020,67.82000
2020,66.85000
2020,67.90000
2020,68.18000
2020,67.71000
2020,65.16000
2020,66.19000
2020,67.30000
2020,67.09000
2020,66.79000
2020,67.56000
2020,69.19000
2020,69.33000
2020,70.78000
2020,69.13000
2020,65.56000
2020,68.98000
2020,67.62000
2020,68.27000
2021,68.94000
2021,70.95000
2021,71.12000
2021,73.11000
2021,69.59000
2021,67.86000
2021,66.25000
2021,68.19000
2021,69.33000
2021,71.92000
2021,72.90000
2021,72.98000
2021,69.10000
2021,70.52000
2021,71.84000
2021,70.99000
2021,68.03000
2021,71.90000
2021,72.34000
2021,71.43000
2021,70.53000
2021,72.66000
2021,73.87000
2021,74.08000
2021,69.80000
2021,70.92000
2021,71.39000
